institution,ukprn,region,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,region_code,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
Cardiff University,10007814,Wales,1,Clinical Medicine,3417,"
    Cardiff research yields evidence for benefits of sentinel node biopsy and
      spearheads training in the technique as a standard of care in breast
      cancer surgery
    ",A,3.8,High,9.0,36.86979244885046,12.703656864233988,15.357337396214625,16.07303077139244,-0.0231,-0.6608,0.0,0.3714,0.5669,16,7,11,['883'],£0.0 million,1294,4
Cardiff University,10007814,Wales,1,Clinical Medicine,3418,"
    Identification of a novel drug resistance determinant resulting in
        global change of attitude and policy
    ",A,3.8,High,9.0,19.561850723533922,13.26079586189388,18.09756864758871,17.261875710496405,0.0011,-0.3246,0.0,0.0,0.2841,50,8,24,[],,1218,2
Cardiff University,10007814,Wales,1,Clinical Medicine,3419,"
    Discovery and exploitation of fluorescent dyes in healthcare, drug
        discovery and life sciences
    ",A,3.8,High,9.0,13.597773745558555,14.49772215096629,18.892177146812536,19.33864754450847,0.19,-0.2684,0.0,0.4853,0.6629,24,13,3,"['over $3.2 million', '3.2', '180K5.1', '101 post-2008', '1']",£3.2 million,1057,2
University of Liverpool,10006842,North West,1,Clinical Medicine,3788,"
    Development of Novel Tamponade Agents has Improved the Treatment of
      Retinal Detachment
    ",A,3.534,High,6.0,36.06789306040619,12.08083765360238,15.938623442865989,15.354020671834625,0.172,-0.2908,0.1531,0.4215,0.602,10,4,7,['10k'],£0.0 million,860,2
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,3788,"
    Development of Novel Tamponade Agents has Improved the Treatment of
      Retinal Detachment
    ",A,3.534,High,6.0,36.06789306040619,12.08083765360238,15.938623442865989,15.354020671834625,0.172,-0.2908,0.1531,0.4215,0.602,10,4,7,['10k'],£0.0 million,860,2
University of Liverpool,10006842,North West,1,Clinical Medicine,3789,"
Diagnostic Tests for Cystic Fibrosis Epidemic Strains
",A,3.534,High,6.0,43.913365061590184,12.701714221724526,14.524165085284608,13.058889147539453,-0.0271,-0.5326,0.0,0.0,0.6249,22,11,6,[],,914,3
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,3789,"
Diagnostic Tests for Cystic Fibrosis Epidemic Strains
",A,3.534,High,6.0,43.913365061590184,12.701714221724526,14.524165085284608,13.058889147539453,-0.0271,-0.5326,0.0,0.0,0.6249,22,11,6,[],,914,3
University of Liverpool,10006842,North West,1,Clinical Medicine,3790,"
    The Evidence-Based Diagnosis and Treatment of Chronic Obstructive
      Pulmonary Disease (COPD)
    ",A,3.534,High,6.0,26.932196728686677,13.091185253382179,17.192909130983228,18.361656565656567,0.2826,-0.0178,0.3066,0.5473,0.7719,35,6,6,"['700', '19']",£0.0 million,945,2
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,3790,"
    The Evidence-Based Diagnosis and Treatment of Chronic Obstructive
      Pulmonary Disease (COPD)
    ",A,3.534,High,6.0,26.932196728686677,13.091185253382179,17.192909130983228,18.361656565656567,0.2826,-0.0178,0.3066,0.5473,0.7719,35,6,6,"['700', '19']",£0.0 million,945,2
University of Liverpool,10006842,North West,1,Clinical Medicine,3859,"
    Therapeutic Drug Monitoring for HIV drugs
    ",A,3.534,High,6.0,18.517554604486463,14.02926127508855,19.069314709971756,20.647282352941183,0.1373,-0.393,0.0,0.4478,0.6221,17,1,12,[],,850,4
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,3859,"
    Therapeutic Drug Monitoring for HIV drugs
    ",A,3.534,High,6.0,18.517554604486463,14.02926127508855,19.069314709971756,20.647282352941183,0.1373,-0.393,0.0,0.4478,0.6221,17,1,12,[],,850,4
University of Liverpool,10006842,North West,1,Clinical Medicine,3860,"
    Malarial Retinopathy has Redefined the Diagnosis of Cerebral Malaria and
      Improved the Management of Coma in African Children
    ",A,3.534,High,6.0,23.25992277992279,12.622866366366367,17.769306771911534,17.77993236108336,0.1423,-0.3818,0.0,0.4215,0.5423,15,4,3,[],,947,4
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,3860,"
    Malarial Retinopathy has Redefined the Diagnosis of Cerebral Malaria and
      Improved the Management of Coma in African Children
    ",A,3.534,High,6.0,23.25992277992279,12.622866366366367,17.769306771911534,17.77993236108336,0.1423,-0.3818,0.0,0.4215,0.5423,15,4,3,[],,947,4
University of Liverpool,10006842,North West,1,Clinical Medicine,3862,"
    The Liverpool Diabetic Eye Study has set the Standard for Screening for
      Sight-Threatening
      Diabetic Retinopathy in the UK and Europe.
    ",A,3.534,High,6.0,29.480831529961534,13.037951473658005,16.591306886514527,17.330010695595703,0.0978,-0.3236,0.0,0.34,0.5784,26,3,22,['10- 12'],£0.0 million,1114,2
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,3862,"
    The Liverpool Diabetic Eye Study has set the Standard for Screening for
      Sight-Threatening
      Diabetic Retinopathy in the UK and Europe.
    ",A,3.534,High,6.0,29.480831529961534,13.037951473658005,16.591306886514527,17.330010695595703,0.0978,-0.3236,0.0,0.34,0.5784,26,3,22,['10- 12'],£0.0 million,1114,2
University of Liverpool,10006842,North West,1,Clinical Medicine,3863,"
    Changing Clinical practice from Imatinib to Nilotinib in Chronic Myeloid
      Leukaemia (CML)
    ",A,3.534,High,6.0,31.232020202020237,12.673837373737374,16.36785224902676,19.017017826028685,0.1696,-0.2829,0.0513,0.561,0.6176,13,6,7,"['290', '21.9']",£0.0 million,829,2
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,3863,"
    Changing Clinical practice from Imatinib to Nilotinib in Chronic Myeloid
      Leukaemia (CML)
    ",A,3.534,High,6.0,31.232020202020237,12.673837373737374,16.36785224902676,19.017017826028685,0.1696,-0.2829,0.0513,0.561,0.6176,13,6,7,"['290', '21.9']",£0.0 million,829,2
University of Liverpool,10006842,North West,1,Clinical Medicine,3864,"
    HLA alleles as genetic predictors for drug-induced hypersensitivity
      reactions
    ",A,3.534,High,6.0,33.42241043368952,12.666004399748585,15.903189008614273,16.099356813259256,0.0676,-0.3978,0.0,0.3172,0.4767,24,4,8,"['186,850', '100,630', '20']",£0.29 million,861,4
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,3864,"
    HLA alleles as genetic predictors for drug-induced hypersensitivity
      reactions
    ",A,3.534,High,6.0,33.42241043368952,12.666004399748585,15.903189008614273,16.099356813259256,0.0676,-0.3978,0.0,0.3172,0.4767,24,4,8,"['186,850', '100,630', '20']",£0.29 million,861,4
University of Oxford,10007774,South East,1,Clinical Medicine,3896,"
    DEFINING CRANIOFACIAL DISORDERS FOR IMPROVED
        CLINICAL MANAGEMENT
    ",A,3.8240000000000003,High,2.0,23.7370092378753,12.338028135701203,18.575023064367013,19.43042458632594,0.2258,-0.3226,0.2263,0.5106,0.7501,18,7,4,[],,869,2
University of Oxford,10007774,South East,1,Clinical Medicine,3897,"
    ACCURATE DIAGNOSIS: IMPROVING SURVIVAL RATES FOR CHILDREN WITH CANCER
    ",A,3.8240000000000003,High,2.0,25.278999063248136,12.525107140131146,16.673998072107587,15.222713804947439,0.0965,-0.3311,0.0,0.2732,0.5976,12,5,2,"['approximately £50,000', '22,875', '10,000']",£0.08 million,779,3
University of Oxford,10007774,South East,1,Clinical Medicine,3898,"
    REVOLUTIONISING THE TREATMENT OF RHEUMATOID ARTHRITIS
    ",A,3.8240000000000003,High,2.0,17.249038461538504,13.179914652014652,18.473206523352868,19.184818126397076,0.0826,-0.6701,0.0,0.5023,0.6249,8,2,4,"['US$24.4 billion', 'US$24.4 billion']",£48800.0 million,703,2
University of Oxford,10007774,South East,1,Clinical Medicine,3901,"
    KNOWLEDGE IS POWER: INFORMING NATIONAL GOVERNMENTS IN THE GLOBAL FIGHT
        AGAINST MALARIA
    ",A,3.8240000000000003,High,2.0,20.009227045656985,12.684221968787515,17.855537516775193,18.309109321147815,0.1381,-0.4498,0.2023,0.3612,0.6361,26,7,5,[],,833,2
University of Oxford,10007774,South East,1,Clinical Medicine,3904,"
    EXPOSING A MURDEROUS TRADE
    ",A,3.8240000000000003,High,2.0,16.04659629813139,12.56932893544734,18.610273495975683,19.41877330508475,-0.0454,-0.8469,0.0,0.3604,0.6249,20,4,16,[],,885,2
University of Oxford,10007774,South East,1,Clinical Medicine,3906,"
    IMPROVING THE DIAGNOSIS OF TUBERCULOSIS
    ",A,3.8240000000000003,High,2.0,34.980589928057555,12.194718129496403,16.2061739387678,16.89974137931035,0.1497,-0.3485,0.0258,0.4579,0.6746,10,1,9,"['30', 'around £2']",£0.0 million,696,4
University of Oxford,10007774,South East,1,Clinical Medicine,3907,"
    THE INTERNATIONAL SUBARACHNOID ANEURYSM TRIAL: CHANGING CLINICAL
        PRACTICE
    ",A,3.8240000000000003,High,2.0,16.33962566844923,13.250355614973262,18.678992735672136,22.263766042780745,0.3243,-0.1912,0.3793,0.6215,0.8607,18,1,3,[],,680,2
University of Oxford,10007774,South East,1,Clinical Medicine,3908,"
    FOXP1: ENABLING TARGETED CANCER THERAPY
    ",A,3.8240000000000003,High,2.0,14.46214993804216,13.71203747565941,19.093669521286817,19.28058328907772,-0.021,-0.639,0.0,0.3793,0.5738,10,4,3,[],,538,4
University of Oxford,10007774,South East,1,Clinical Medicine,3910,"
    PLANNING FOR A FUTURE WITH DIABETES: TOOLS TO ASSESS DIABETES RISK AND
        OUTCOMES
    ",A,3.8240000000000003,High,2.0,15.659401179941028,13.026113333333333,18.946978176291534,19.942352725942186,0.1083,-0.4531,0.128,0.4215,0.6054,21,2,5,"['over £450,000']",£0.45 million,911,4
University of Oxford,10007774,South East,1,Clinical Medicine,4862,"
    MALARIA TREATMENT IN PREGNANCY
    ",A,3.8240000000000003,High,2.0,22.688272727272732,12.680118181818184,16.839691059469317,16.334083484573505,0.1594,-0.4404,0.128,0.4767,0.5574,7,5,4,[],,551,2
University of Oxford,10007774,South East,1,Clinical Medicine,4864,"
    INTRODUCING ARTEMISININ TO THE WORLD
    ",A,3.8240000000000003,High,2.0,36.59598970417633,11.823481670533642,15.414825405933506,16.842569444444443,0.3392,-0.2169,0.4215,0.5256,0.749,2,2,0,[],,432,2
University of Oxford,10007774,South East,1,Clinical Medicine,4865,"
    ALERTING THE WORLD TO ARTEMISININ RESISTANCE
    ",A,3.8240000000000003,High,2.0,18.398790279978897,13.084421334238927,19.190719470028544,21.905567765567767,0.0964,-0.4806,0.0772,0.2732,0.5038,14,4,7,[],,637,2
University of Oxford,10007774,South East,1,Clinical Medicine,4866,"
    CLINICAL MANAGEMENT OF DENGUE FEVER
    ",A,3.8240000000000003,High,2.0,31.867105087014778,12.979441097724232,16.11434528070225,17.166159072741813,0.0182,-0.5061,0.0,0.3116,0.6033,12,3,3,[],,834,2
University of Oxford,10007774,South East,1,Clinical Medicine,4867,"
    ON THE FRONT LINE: DEFINING THE CLINICAL FEATURES OF H5N1 IN VIETNAM
    ",A,3.8240000000000003,High,2.0,27.119766336095665,13.086573278087217,16.775130644584568,17.359688581314877,-0.0239,-0.5423,0.0,0.1398,0.5423,11,3,7,[],,867,2
University of Oxford,10007774,South East,1,Clinical Medicine,4868,"
    PREVENTING THE SPREAD OF H1N1: IMMUNISATION TRIALS IN UK CHILDREN
    ",A,3.8240000000000003,High,2.0,30.106490495170988,12.136194189789974,16.96248456909095,17.122264295569522,0.0746,-0.2653,0.0,0.2555,0.449,12,1,6,[],,593,2
University of Oxford,10007774,South East,1,Clinical Medicine,4869,"
    SAFE, ACCURATE AND NON-INVASIVE PRENATAL DIAGNOSIS
    ",A,3.8240000000000003,High,2.0,23.001000000000005,13.159681816953732,17.64570745491177,16.88918946301925,0.3265,-0.0296,0.4019,0.5824,0.7306,12,5,7,"['$0.8 million', '1,000', '$0.1 million']",£0.9 million,846,2
University of Oxford,10007774,South East,1,Clinical Medicine,4870,"
    THE PATERNAL AGE EFFECT: HIS CLOCK IS TICKING
    ",A,3.8240000000000003,High,2.0,17.077568231441063,13.192631877729259,18.903936251131103,19.363395196506552,0.0976,-0.1758,0.0386,0.25,0.4068,16,6,1,[],,458,2
University of Oxford,10007774,South East,1,Clinical Medicine,6025,"
    MELIOIDOSIS: MANAGING ACUTE AND CHRONIC INFECTION
    ",A,3.8240000000000003,High,2.0,25.93136884306989,12.654916723940437,16.230183839811794,16.588087056128295,0.124,-0.5485,0.0,0.4404,0.6641,11,3,12,[],,582,2
University of Oxford,10007774,South East,1,Clinical Medicine,6026,"
    IMPROVED TREATMENT FOR TUBERCULOUS MENINGITIS
    ",A,3.8240000000000003,High,2.0,10.444615384615389,13.763445054945057,18.922397154172714,20.61401899890391,0.0203,-0.4815,0.0,0.1334,0.4951,10,1,2,[],,391,2
University of Oxford,10007774,South East,1,Clinical Medicine,6028,"
    DEFINING TYPE 2 DIABETES IN THE UNITED KINGDOM
    ",A,3.8240000000000003,High,2.0,20.59736060970718,12.74455792218211,18.481644305966572,20.300942942942946,0.1513,-0.1101,0.0,0.5137,0.7307,12,2,1,[],,555,2
University of Oxford,10007774,South East,1,Clinical Medicine,6029,"
    STANDARDISING PATIENT APPRAISAL: ASSESSING OUTCOMES
        OF ORTHOPAEDIC SURGERY
    ",A,3.8240000000000003,High,2.0,25.68017448083924,12.939637144080498,17.631426480028413,18.48092753157782,0.0959,-0.4019,0.0,0.4939,0.7022,17,3,8,[],,692,2
University of Oxford,10007774,South East,1,Clinical Medicine,6030,"
    THE OXFORD KNEE: REVOLUTIONISING KNEE REPLACEMENTS
    ",A,3.8240000000000003,High,2.0,39.08792004048584,12.06634854443802,15.295659394504263,16.244763824884792,0.0402,-0.5232,0.0,0.3917,0.5959,12,7,4,[],,744,2
University of Oxford,10007774,South East,1,Clinical Medicine,6031,"
    HIGHLIGHTING THE DANGERS OF METAL-ON-METAL
        HIP REPLACEMENTS
    ",A,3.8240000000000003,High,2.0,32.886724463316824,12.458869450342062,15.808213051699546,16.839629629629627,-0.093,-0.5913,0.0,0.0516,0.5169,17,7,3,['multi-billion dollar'],,628,2
University of Leeds,10007795,Yorkshire And Humberside,1,Clinical Medicine,6296,"
    Case Study 1. The Acute Infarct Ramipril Efficacy Study: a simple
      treatment to improve survival after acute myocardial infarction
    ",A,3.72,High,,23.4839781912236,12.996890488786997,17.979576790631704,19.629762845849804,0.09,-0.6377,0.0,0.3766,0.6771,12,3,6,[],,1035,2
University of Leeds,10007795,Yorkshire And Humberside,1,Clinical Medicine,6297,"
    Case Study 2
    Clinical trials show that the novel cytotoxic drug eribulin prolongs
      survival in women with heavily
      pre-treated metastatic breast cancer
    ",A,3.72,High,,37.50862009561135,12.445300534045394,14.691978157721916,15.41268516129032,0.277,-0.6597,0.4401,0.6808,0.828,16,4,7,"['330', '72']",£0.0 million,750,2
University of Leeds,10007795,Yorkshire And Humberside,1,Clinical Medicine,6298,"
    Case Study 3. Establishing the effectiveness of laparoscopic surgery for
      colorectal cancer leading to safer implementation into the NHS and
      world-wide for greater a patient benefit.
    ",A,3.72,High,,13.808958974359001,13.387524871794872,18.517938787600876,18.644584676800243,-0.0188,-0.7099,0.0,0.4291,0.6629,17,0,2,"['around £7.5M', '£20 million']",£20.0 million,1002,2
University of Leeds,10007795,Yorkshire And Humberside,1,Clinical Medicine,6301,"
    Case Study 5. Pathology research led to an international reduction in
      rectal cancer recurrence and death by improving multidisciplinary clinical
      practice
    ",A,3.72,High,,21.887097127937352,12.927562537859007,18.113493000719114,20.092829204693608,-0.0086,-0.8026,0.0,0.4404,0.7,7,4,16,"['£60 million', '£6 million', '£1 million', '60,000']",£67.06 million,767,2
University of Leeds,10007795,Yorkshire And Humberside,1,Clinical Medicine,6302,"
    Case Study 6. Transforming the treatment of myeloma has produced
      significant improvement in patient survival: the MRC Myeloma trials
    ",A,3.72,High,,33.87494331065761,13.1554660430839,15.506716928687577,15.648164619511512,0.2999,0.0,0.2732,0.4937,0.6124,7,2,5,[],,787,2
University of Leeds,10007795,Yorkshire And Humberside,1,Clinical Medicine,6303,"
    Case Study 7. Changing the treatment paradigm of rheumatoid arthritis:
      early diagnosis and aggressive treatment to attain remission leads to
      sustained improvements in health and quality of life.
    ",A,3.72,High,,32.49725806451616,12.17030307219662,16.578774642904936,17.000955443270556,0.2726,-0.2753,0.3612,0.5023,0.7982,13,1,9,"['an estimated £4 million', '£1.8 billion', '£3.8 billion', '£2.2 million', '£6.2 million']",£5612.4 million,933,2
University of Liverpool,10006842,North West,1,Clinical Medicine,6596,"
    Improving the Impact of Malaria Prevention Activities
    ",A,3.534,High,6.0,21.081229858976968,13.422199445673092,17.889310474218963,18.451216216216217,0.133,-0.1477,0.0,0.3397,0.6297,26,7,18,['1'],£0.0 million,942,2
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,6596,"
    Improving the Impact of Malaria Prevention Activities
    ",A,3.534,High,6.0,21.081229858976968,13.422199445673092,17.889310474218963,18.451216216216217,0.133,-0.1477,0.0,0.3397,0.6297,26,7,18,['1'],£0.0 million,942,2
University of Liverpool,10006842,North West,1,Clinical Medicine,6597,"
    Development of an Effective Cure for River Blindness (Onchocerciasis) and
      Elephantiasis (Lymphatic Filariasis) and a new Tool for Control,
      Elimination and Morbidity Management.
    ",A,3.534,High,6.0,7.861714285714299,14.325917142857145,20.456717378047102,23.22116527942925,0.0964,-0.7579,0.0,0.3473,0.8281,37,3,5,[],,841,6
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,6597,"
    Development of an Effective Cure for River Blindness (Onchocerciasis) and
      Elephantiasis (Lymphatic Filariasis) and a new Tool for Control,
      Elimination and Morbidity Management.
    ",A,3.534,High,6.0,7.861714285714299,14.325917142857145,20.456717378047102,23.22116527942925,0.0964,-0.7579,0.0,0.3473,0.8281,37,3,5,[],,841,6
University of Liverpool,10006842,North West,1,Clinical Medicine,6601,"
    The Epidemiology and Control of Malaria in Pregnancy
    ",A,3.534,High,6.0,27.398897882938996,13.316807513491076,17.64278748958908,17.60540686223697,0.0547,-0.4192,0.0,0.2263,0.607,27,2,5,[],,877,2
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,6601,"
    The Epidemiology and Control of Malaria in Pregnancy
    ",A,3.534,High,6.0,27.398897882938996,13.316807513491076,17.64278748958908,17.60540686223697,0.0547,-0.4192,0.0,0.2263,0.607,27,2,5,[],,877,2
University of Liverpool,10006842,North West,1,Clinical Medicine,6602,"
    Building and implementing a replicable model for HIV Testing and
      Counselling
    ",A,3.534,High,6.0,30.647653329988742,13.354386065470964,17.190840771661655,17.28347866942304,0.1926,-0.3342,0.0,0.5267,0.7184,23,5,9,['9.2'],£0.0 million,939,3
Liverpool School of Tropical Medicine,10003958,North West,1,Clinical Medicine,6602,"
    Building and implementing a replicable model for HIV Testing and
      Counselling
    ",A,3.534,High,6.0,30.647653329988742,13.354386065470964,17.190840771661655,17.28347866942304,0.1926,-0.3342,0.0,0.5267,0.7184,23,5,9,['9.2'],£0.0 million,939,3
University of Oxford,10007774,South East,1,Clinical Medicine,6605,"
    IMPROVING HIV TREATMENT
    ",A,3.8240000000000003,High,2.0,23.106059221658228,13.295202301184434,17.429995496436575,18.741343408900086,0.2644,0.0,0.2491,0.4767,0.6994,22,6,5,"['11.3billion', '35,194']",£11300.04 million,794,2
University of Leeds,10007795,Yorkshire And Humberside,1,Clinical Medicine,8316,"
    Case Study 8. Transforming the diagnosis and clinical management of
      autosomal recessive
      disease.
    ",A,3.72,High,,28.66233832956263,12.080315233785822,16.728156217252725,15.676947831978318,0.0105,-0.4365,0.0,0.128,0.3811,9,6,8,[],,1107,2
University of Sheffield,10007157,Yorkshire And Humberside,1,Clinical Medicine,12327,"
    A new gold standard treatment for the emergency correction of
      warfarin-induced coagulopathy
    ",A,3.7429999999999994,High,,32.421428803641106,12.945061471298533,15.903189008614273,17.522051948051946,0.1957,-0.3818,0.2135,0.4115,0.7057,19,6,4,[],,770,2
University of Sheffield,10007157,Yorkshire And Humberside,1,Clinical Medicine,12328,"
    Commercial and health impacts of drug modelling tools
    ",A,3.7429999999999994,High,,28.01226470588236,12.761828104575164,15.789974760690207,15.121537057954647,0.3068,0.0,0.34,0.6249,0.8234,16,2,3,"['$32M', 'millions of dollars', '$32M', '£1 billion']",£1000.0 million,677,3
University of Sheffield,10007157,Yorkshire And Humberside,1,Clinical Medicine,12329,"
    FRAX, an international tool for the assessment of fracture risk
    ",A,3.7429999999999994,High,,29.51742307692308,12.917754212454213,15.903189008614273,16.103881318681317,0.0311,-0.4806,0.0,0.25,0.5313,25,3,9,[],,975,4
University of Sheffield,10007157,Yorkshire And Humberside,1,Clinical Medicine,12330,"
    Health and economic impact of a new drug intervention for osteoporosis
    ",A,3.7429999999999994,High,,34.95236597617355,12.430232503556189,14.819310888816336,15.429225640113799,0.261,0.0,0.1779,0.4767,0.7442,17,4,3,"['US$0.6 billion', '0.6bn', '1,216', '1,323']",£600.0 million,703,2
University of Sheffield,10007157,Yorkshire And Humberside,1,Clinical Medicine,12331,"
    New drug for heart attack victims
    ",A,3.7429999999999994,High,,14.491035598705537,13.502710032362462,19.371125197000527,22.624822006472492,0.5194,0.0,0.4767,0.7672,0.9003,8,1,6,[],,412,2
University of Sheffield,10007157,Yorkshire And Humberside,1,Clinical Medicine,12332,"
    Clinical development and manufacture of a new drug, Chronocort&#174;,
      for treatment of the rare orphan disease congenital adrenal hyperplasia
    ",A,3.7429999999999994,High,,27.660897435897482,13.432497817785052,17.271124417154166,16.74628205128206,0.3776,0.0,0.4404,0.6059,0.7717,21,7,5,"['£3.8M', '£0.4M', '€5.6M Framework 7', '2.7M.', 'over £3.8', '£461K', 'over £2.7M', '£288K']",£0.0 million,942,2
University of Sheffield,10007157,Yorkshire And Humberside,1,Clinical Medicine,12333,"
    Safer treatment of childhood leukaemia through improved delivery of
      thiopurine drugs
    ",A,3.7429999999999994,High,,20.813878183361652,13.555191137521224,17.80541091248751,20.441364406779662,0.0286,-0.4365,0.0,0.189,0.457,20,3,2,"['over £9,000', 'over £9,000', '27', 'approximately £200', 'an additional £50 to £60', 'about £10,000']",£0.03 million,1180,2
University of Leeds,10007795,Yorkshire And Humberside,1,Clinical Medicine,13964,"
    Case Study 9. Changing cancer services and improving patient outcomes in
      the UK
    ",A,3.72,High,,25.80717619087696,13.052290181226505,17.3669536695453,19.04873746428371,-0.134,-0.7964,-0.1152,0.3505,0.6908,14,13,6,[],,1373,2
University of Oxford,10007774,South East,1,Clinical Medicine,15529,"
    EFFECTIVE DESIGN, DEVELOPMENT AND EVALUATION OF MENINGITIS VACCINES
    ",A,3.8240000000000003,High,2.0,22.791329331046313,13.015044997141224,17.693802365651003,19.67751715265866,0.0717,-0.2287,0.0,0.22,0.4166,16,3,8,[],,636,2
Newcastle University,10007799,North East,1,Clinical Medicine,19548,"
    How better risk stratification for lung transplant has benefitted cystic
      fibrosis
      patients
    ",A,3.75,High,8.0,28.01349041851475,12.853346309564428,16.794655666223992,19.74234668477031,0.0484,-0.4919,0.0,0.4404,0.6247,6,2,7,[],,982,2
University College London,10007784,London,1,Clinical Medicine,20066,"
    Self-management intervention for men with lower urinary tract symptoms:
      development, phased evaluation and global adoption
    ",A,3.8079999999999994,High,0.0,38.47529487433209,12.16299754601227,15.398748113891028,14.162918023083755,0.3242,0.0,0.3612,0.6923,0.721,10,2,2,"['approximately £120m', '20']",£0.0 million,654,8
